,,SSR,SRR,cost,shift,scale
Bobby Nobody - Stitch Up,bass,17.753817735228488,2.9206168810473425,54.33503722065254,"[[-1.0, 6.0], [-7.5, -1.0]]","[[0.7185044407809542, 0.13896520744298618], [0.1334236707176623, 0.7305853942892131]]"
Bobby Nobody - Stitch Up,drums,11.997777480091033,3.83095598757625,29.603483791455226,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6854556259915077, 0.03539997660431082], [-0.030487431995234883, 0.7987139411774278]]"
Bobby Nobody - Stitch Up,other,5.4519622634450595,0.34606909760694426,41.27444511277429,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5430876837585072, -0.038030634476482375], [0.039296141082164095, 0.5074329047813068]]"
Bobby Nobody - Stitch Up,vocals,15.976329978126941,7.179866238479939,27.67551684720823,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8123773477569255, 0.04003324502401912], [0.0683866408285231, 0.7815012645427202]]"
Buitraker - Revo X,bass,16.258248076903815,5.567720372761574,44.04347595548198,"[[0.0, 9.0], [-8.0, 0.0]]","[[0.33478209203180137, 0.5265481511702008], [0.4259810367654822, 0.45516117619695484]]"
Buitraker - Revo X,drums,14.520181077756995,10.490864758195269,38.80574095558249,"[[0.0, 16.5], [-22.0, 0.0]]","[[0.7521917915458631, 0.15007807572335813], [0.20106195304354185, 0.6151575315560144]]"
Buitraker - Revo X,other,8.905052241566919,2.6330806377079936,47.07871590667028,"[[0.0, 0.0], [-4.0, 0.0]]","[[0.6241998951765279, -0.03768671157583786], [-0.0458613927291725, 0.6538030902598858]]"
Buitraker - Revo X,vocals,9.422930899546186,0.7255805671347917,42.16618989198882,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6551313122884506, 0.007830768019722071], [-0.0009639810186824636, 0.7158558879208906]]"
Carlos Gonzalez - A Place For Us,bass,2.8988377456533265,-8.241323879563161,28.536664167682396,"[[-1.0, 0.5], [-1.0, 0.5]]","[[0.15230795958593338, 0.15230729061522624], [0.15052248693032658, 0.15052180887143973]]"
Carlos Gonzalez - A Place For Us,drums,8.467486162956163,3.391350734656644,34.16483403424258,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6575634385360567, -0.019282056598212097], [0.006559214459848933, 0.6080646952805795]]"
Carlos Gonzalez - A Place For Us,other,17.419289124803583,3.5258639579472724,57.82132256211142,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8731476005130526, 0.002752311277265517], [-0.002855770949928065, 0.8615231127916984]]"
Carlos Gonzalez - A Place For Us,vocals,7.94115483507278,2.8404030135972893,40.96316533850166,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5541677976235537, 0.07842868287891588], [0.08300973071008061, 0.5547356686834709]]"
Cristina Vane - So Easy,bass,9.891862816491745,2.2824888827275522,35.59361390094497,"[[-0.5, 9.0], [-9.5, -0.5]]","[[0.5720599444537934, 0.06483699253212763], [0.2858946416384616, 0.3577434289357425]]"
Cristina Vane - So Easy,drums,19.908851626496578,9.33793897758937,34.791058359561994,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7454604400193146, 0.15720489093448264], [0.07214786578653382, 0.8395860026200768]]"
Cristina Vane - So Easy,other,10.352940211336609,1.2038512586165644,49.36849874889306,"[[0.0, 0.0], [0.0, 0.0]]","[[0.711412490738569, -0.01066505362968726], [-0.04598946154275642, 0.7261888705004329]]"
Cristina Vane - So Easy,vocals,16.538156523394598,7.630978050319101,35.20640511707957,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8015926625957289, 0.04264804882566118], [0.028003408290224067, 0.8427552420338578]]"
