,,,SSR,SRR,cost,shift,scale
fadg0,2,0.6000000000000001,2.7225654733822076,79.08053386770675,0.001127516508085112,"[[0.0, -2.0], [0.0, -2.0]]","[[0.21853478372054308, 0.21850800888847652], [0.6724985016970084, 0.6724161177710446]]"
fadg0,2,0.8,1.483279740101211,79.08038140004058,0.0011275263418208316,"[[0.0, -2.0], [0.0, -2.0]]","[[0.11062942364433687, 0.11061586935247875], [0.6984011126713092, 0.6983155555653615]]"
fadg0,2,1.0,0.3677247049752613,79.08032886202271,0.0011275297302780225,"[[0.0, -2.0], [0.0, -2.0]]","[[4.330310763766513e-17, 4.329780215075261e-17], [0.7071067703912384, 0.7070201468052031]]"
fadg0,4,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,4,-0.8,2.8201460238469975,76.81450306454667,0.001901812230672093,"[[0.0, -4.0], [0.0, -4.0]]","[[0.6985452660724694, 0.6984010930237337], [0.11061586624060851, 0.11059304107423186]]"
fadg0,4,-0.6,3.0516756489160275,76.81424615153261,0.0019018401871890372,"[[0.0, -4.0], [0.0, -4.0]]","[[0.672637308672736, 0.6724984827781308], [0.2185080027413607, 0.21846291443995597]]"
fadg0,4,-0.3999999999999999,2.9656887523990343,76.81384596988626,0.0019018837296548934,"[[0.0, -4.0], [0.0, -4.0]]","[[0.6301667883782384, 0.6300367279920258], [0.3210197470281362, 0.32095350581532345]]"
fadg0,4,-0.19999999999999996,2.581733934522647,76.81334165909897,0.0019019385949372834,"[[0.0, -4.0], [0.0, -4.0]]","[[0.5721794703502034, 0.5720613779907373], [0.4156269197396206, 0.4155411566939013]]"
fadg0,4,0.0,1.977703870240907,76.81278255785085,0.0019019994117065503,"[[0.0, -4.0], [0.0, -4.0]]","[[0.5001031948073561, 0.4999999783004528], [0.4999999783004528, 0.4998968051926438]]"
fadg0,4,0.20000000000000018,1.248303625043469,76.81222338461565,0.0019020602265199843,"[[0.0, -4.0], [0.0, -4.0]]","[[0.41571271886100514, 0.4156269197396205], [0.5720613779907375, 0.571943335285165]]"
fadg0,4,0.40000000000000013,0.4722995668810295,76.81171888536738,0.001902115086674198,"[[0.0, -4.0], [0.0, -4.0]]","[[0.32108601610488235, 0.32101974702813585], [0.6300367279920258, 0.6299067222918622]]"
fadg0,4,0.6000000000000001,-0.29746848218999333,76.81131847076288,0.0019021586228090159,"[[0.0, -4.0], [0.0, -4.0]]","[[0.21855311000886501, 0.21850800274136067], [0.6724984827781311, 0.6723597152551786]]"
fadg0,4,0.8,-1.0302702526751286,76.81106136929125,0.001902186574198087,"[[0.0, -4.0], [0.0, -4.0]]","[[0.11063870100824241, 0.11061586624060854], [0.698401093023734, 0.6982569805949508]]"
fadg0,4,1.0,-1.71028807437163,76.81097277462962,0.0019021962054941444,"[[0.0, -4.0], [0.0, -4.0]]","[[4.330673902861485e-17, 4.3297800932689216e-17], [0.7071067504987534, 0.7069608416904177]]"
fadg0,8,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,8,-0.8,1.6590645226389131,76.19347737696745,0.0022058775941729176,"[[0.0, -8.0], [0.0, -8.0]]","[[0.6985661722351016, 0.6984010829758058], [0.11061586464917311, 0.110589729863364]]"
fadg0,8,-0.6,0.9070360824257464,76.19318096846769,0.002205914805904721,"[[0.0, -8.0], [0.0, -8.0]]","[[0.6726574394583138, 0.6724984731028651], [0.21850799959767636, 0.21845637355122116]]"
fadg0,8,-0.3999999999999999,0.1332733366799278,76.19271926113319,0.0022059727632739072,"[[0.0, -8.0], [0.0, -8.0]]","[[0.6301856481000103, 0.630036718927659], [0.3210197424096108, 0.3209438963071102]]"
fadg0,8,-0.19999999999999996,-0.6197712863471547,76.19213740607677,0.002206045791623174,"[[0.0, -8.0], [0.0, -8.0]]","[[0.572196594619228, 0.5720613697604648], [0.41562691375997773, 0.4155287151841941]]"
