,,SSR,SRR,cost,shift,scale
Bobby Nobody - Stitch Up,bass,14.579570343567418,5.823651525944199,8.549180445327295,"[[0.0, 4.0], [-7.0, -3.0]]","[[0.6793313193546546, 0.1206072765713633], [0.4542289861527887, 0.39973946429141716]]"
Bobby Nobody - Stitch Up,drums,10.024231262431037,4.930599966073766,6.1180683774479085,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6430073518808272, 0.02145222893143281], [-0.03074090389715587, 0.7329439162439481]]"
Bobby Nobody - Stitch Up,other,10.678093174759763,2.6755113620171445,10.481975550671745,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6879289593311563, 0.01807744956181348], [-0.0226175900823352, 0.7804957508423536]]"
Bobby Nobody - Stitch Up,vocals,17.245880791284893,8.084551458396856,5.993909208567636,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8421190044485573, 0.0], [0.010085516354758826, 0.8173848277806897]]"
Buitraker - Revo X,bass,18.427028273250805,8.138216864302047,9.121676333036616,"[[4.0, 6.0], [-5.0, -2.5]]","[[0.40706969824219214, 0.4164508916365317], [0.40026998778394596, 0.47654050004011894]]"
Buitraker - Revo X,drums,17.20424951824488,11.116062138200775,9.04258356854412,"[[0.0, 6.0], [-7.0, 0.0]]","[[0.8136071135947089, 0.08208794547256372], [0.08006700294736518, 0.7800504432725965]]"
Buitraker - Revo X,other,12.09449029133814,4.652467373561857,9.82219654846314,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7510559914643432, -0.04154575938988957], [-0.04076842172122962, 0.7555462665996842]]"
Buitraker - Revo X,vocals,11.536611125596718,2.9637722327388234,6.5276576584194945,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6069748621952817, 0.07227920396766664], [0.06957112365911973, 0.6350806727830658]]"
Carlos Gonzalez - A Place For Us,bass,1.2927988113052147,-10.200928988748291,2.4220189520143847,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1174932908874017, 0.11749340941565543], [0.11671250280741118, 0.11671365788470613]]"
Carlos Gonzalez - A Place For Us,drums,11.412569374765042,4.816185021205104,7.826978748798049,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7300963331516336, 0.013777013838620282], [0.03146591777916358, 0.6527456382469392]]"
Carlos Gonzalez - A Place For Us,other,15.832520758665103,5.331848808671858,11.71147309243221,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8461091517880995, -0.009032792666599159], [-0.00952224003150538, 0.8424559800004315]]"
Carlos Gonzalez - A Place For Us,vocals,11.392504142973108,5.5058473459424135,8.220481475968018,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5949292508695738, 0.1049695003451277], [0.09130632810637991, 0.5848522985091523]]"
Cristina Vane - So Easy,bass,9.872543035650025,3.6914979158953782,7.975912721444894,"[[0.0, 6.0], [-7.0, -2.0]]","[[0.574739044055323, 0.10217273957217302], [0.2817377560370742, 0.39575485635608676]]"
Cristina Vane - So Easy,drums,18.637622391617626,10.186264817433159,8.404273622338131,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8567426533307756, 0.01703230835293517], [0.0551228955907576, 0.816451882402311]]"
Cristina Vane - So Easy,other,13.347679493756374,3.2162574333755725,11.17950746702768,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7696737405593679, 0.042150610050251495], [0.03541574067383091, 0.7627730656967515]]"
Cristina Vane - So Easy,vocals,16.612349695675714,8.718700247834704,5.373854718316162,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8568702013709687, 0.00023319421257022747], [0.0, 0.8544096690838222]]"
Detsky Sad - Walkie Talkie,bass,2.829429915995862,-1.638851871806388,4.482949006574538,"[[-2.0, -1.0], [-2.0, -1.0]]","[[0.11908450549891947, 0.018092634230323895], [0.18252013231625777, 0.0]]"
Detsky Sad - Walkie Talkie,drums,11.110617086456795,5.431839223371844,14.70224652663233,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6546905780053315, 0.05335933536605078], [0.013855957601864715, 0.7381242241146841]]"
Detsky Sad - Walkie Talkie,other,14.012270413379124,-2.0576425319450955,17.174240012028225,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7452484494331187, 0.004979876185386825], [0.0, 0.7952165302421594]]"
Detsky Sad - Walkie Talkie,vocals,0.0,-80.0,4.271173351890905,"[[-44100.0, -44100.0], [-44100.0, -44100.0]]","[[0.0, 0.0], [0.0, 0.0]]"
Enda Reilly - Cur An Long Ag Seol,bass,14.889787081937516,-1.2571259517808506,26.334646324716076,"[[0.0, 0.0], [0.0, 0.0]]","[[0.43991999853764424, 0.43991999853764424], [0.4397654050051848, 0.4397654050051848]]"
Enda Reilly - Cur An Long Ag Seol,drums,0.339948181344743,-7.490572609972601,4.8346028538112416,"[[0.0, -2.0], [-4.0, 0.0]]","[[0.05764992881891963, -0.017012357761453205], [-0.016746069581587978, 0.05211971522881867]]"
Enda Reilly - Cur An Long Ag Seol,other,19.132422631531277,6.303962188229938,10.023133824971058,"[[0.0, -1.0], [1.0, 0.0]]","[[0.9146582938375802, -0.018391523355182415], [0.0005842095669635467, 0.8962281006535221]]"
Enda Reilly - Cur An Long Ag Seol,vocals,18.7049911337424,9.141084119238563,6.562308934534268,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8516484343118143, 0.002000830555069581], [0.03193044325576969, 0.787327297519081]]"
Forkupines - Semantics,bass,11.837368439494613,5.4816415226994275,7.448662162387726,"[[0.0, 7.0], [-6.0, 1.0]]","[[0.7044326043627512, 0.03667069701737029], [0.1890004881062456, 0.5173003406635912]]"
Forkupines - Semantics,drums,18.411366821739563,10.238587946733999,11.30002883764453,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5925437842399918, 0.2833372319865069], [0.23239955158746067, 0.6535155318387946]]"
Forkupines - Semantics,other,12.033067067064472,4.664033325968972,12.198495172440039,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7774655960360727, -0.031367788731357725], [-0.02786934786231778, 0.7703474363383007]]"
Forkupines - Semantics,vocals,2.817589642653666,-1.4285733990057716,0.7010250323144335,"[[0.0, -2025.0], [-854.0, 0.0]]","[[0.09624380002581208, 0.0], [0.0, 0.27522152046149406]]"
Georgia Wonder - Siren,bass,14.464354320339234,9.890002947816352,7.298426032720905,"[[-5.0, -17.0], [16.0, 7.0]]","[[0.7609446175607919, 0.1883397090299279], [0.10866260477328123, 0.7448705614357829]]"
Georgia Wonder - Siren,drums,16.334877647188907,8.22466626771665,9.054726598744468,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9024674683882237, -0.028192809622625763], [0.04461000814204027, 0.783638614792299]]"
Georgia Wonder - Siren,other,12.930423790190929,5.1322028254296095,10.040734644053916,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7758094234872913, 0.0031074121619892882], [-0.0004346964833876233, 0.7831541164521023]]"
Georgia Wonder - Siren,vocals,10.226193968885948,3.0773375753337473,8.371727916946295,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6716468830103777, 0.0], [0.0, 0.6681810807128976]]"
Girls Under Glass - We Feel Alright,bass,5.727120825336545,1.4120858850944602,12.332157130481153,"[[0.0, -1.0], [-1.0, 1.0]]","[[0.4082716153675288, 0.07084246006412034], [0.07150657279228555, 0.43066850621649577]]"
Girls Under Glass - We Feel Alright,drums,16.500173573960282,6.424280677428472,14.271997192865726,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6780259224435887, 0.1846463850855521], [0.2438780428270946, 0.6131360487438222]]"
Girls Under Glass - We Feel Alright,other,17.3033684899386,4.758243222252927,14.258663123967509,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8923715599455282, -0.03350842653629099], [-0.01170827987508456, 0.8584224048358735]]"
Girls Under Glass - We Feel Alright,vocals,0.0,-80.0,0.11133257524723109,"[[-44100.0, -44100.0], [-44100.0, -44100.0]]","[[0.0, 0.0], [0.0, 0.0]]"
Hollow Ground - Ill Fate,bass,11.409126822759658,0.10573148755704664,22.5811175830591,"[[0.0, -7.0], [10.0, -1.0]]","[[0.6965723700856142, 0.1775662573532038], [-0.01382630091281436, 0.8705690741778038]]"
Hollow Ground - Ill Fate,drums,11.467571914929751,4.675763110947986,9.756034171130704,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8360178409177619, -0.08964083678733284], [0.0937337517852869, 0.5794356920508456]]"
Hollow Ground - Ill Fate,other,6.34160420293844,3.130045681235947,15.063946675699425,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5022703932451378, -0.03223392586099311], [-0.07852162760868317, 0.5679266368559779]]"
Hollow Ground - Ill Fate,vocals,13.763930838618052,5.515097118319646,5.929442083700062,"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
James Elder & Mark M Thompson - The English Actor,bass,7.805187335006792,2.231339778982952,4.027327393041389,"[[-1.0, 21.0], [-39.0, -11.0]]","[[0.722049052608672, 0.0], [0.24722647408790083, 0.147899368065045]]"
James Elder & Mark M Thompson - The English Actor,drums,16.966433406697877,9.891298700825818,5.599834625560766,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8518603367910149, 0.059756850710682693], [0.08038098223006618, 0.7975916785503674]]"
James Elder & Mark M Thompson - The English Actor,other,,,12.47156786904833,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8405765256853155, 0.018654320170443064], [-0.008203309857843441, 0.8820013940742607]]"
James Elder & Mark M Thompson - The English Actor,vocals,7.464467807169788,3.465634238335765,7.116230463007544,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5449407024756544, 0.026417379696578938], [0.020987365787608424, 0.49567166449403494]]"
Juliet's Rescue - Heartbeats,bass,7.054633606232445,2.6293911523190876,5.58697886352045,"[[-3.0, -3.0], [-3.0, -2.0]]","[[0.36760519396063523, 0.1513676484803868], [0.0, 0.5301815767930228]]"
Juliet's Rescue - Heartbeats,drums,22.374122104039532,13.825544111555692,6.453187514874265,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7037981521034338, 0.2147548122142394], [0.2092935837333766, 0.7269368048080261]]"
Juliet's Rescue - Heartbeats,other,16.410027044959435,6.811876423376222,10.0543547336723,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8519856446434287, -0.0038057899164782734], [-0.002701272452980357, 0.8207575013499598]]"
Juliet's Rescue - Heartbeats,vocals,16.07934848070231,6.908080312181473,6.15225581570077,"[[0.0, -1.0], [-1.0, 0.0]]","[[0.855714533845138, -0.0019020883897571145], [-0.002704201342534211, 0.8356410134459347]]"
Little Chicago's Finest - My Own,bass,16.239220867517012,5.436219856377022,4.388103599579642,"[[-8.0, -26.0], [21.0, 6.0]]","[[0.3454460502170919, 0.3659786318230951], [0.1274157298832786, 0.5897678078906081]]"
Little Chicago's Finest - My Own,drums,5.80309060534085,1.271098371321444,14.360591601070443,"[[0.0, -35.0], [35.0, 0.0]]","[[0.4139649784173526, 0.06070194944319146], [-0.07424033929702428, 0.6004943651502995]]"
Little Chicago's Finest - My Own,other,12.164810302083524,-6.433876006621905,13.971456832915688,"[[0.0, -54.0], [49.5, 0.0]]","[[0.7310857249667237, 0.03629559205797935], [0.04437163199282074, 0.7429786085972208]]"
Little Chicago's Finest - My Own,vocals,18.96396304309171,10.626768901411875,4.396807520212308,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8445703118182212, 0.05745007511017175], [0.03491014855842942, 0.8708466454925461]]"
Louis Cressy Band - Good Time,bass,13.11757065036061,8.64335951548717,4.87866845221795,"[[8.0, 20.0], [-16.0, -7.0]]","[[0.9095875826309066, -0.06632158622549494], [0.2667846121729058, 0.6675110171841437]]"
