,,,SSR,SRR,cost,shift,scale
fadg0,0.0,-0.07368062997280773,24.752347761002476,80.0,2.8147017858369028e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5280812083094537, 0.5280812083094535], [0.4702448696481732, 0.4702448696481731]]"
fadg0,0.0,-0.024516648961063817,34.309114384379015,80.0,5.0199024725378804e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5095343815266231, 0.5095343815266231], [0.4902802403139265, 0.49028024031392636]]"
fadg0,0.0,-0.008157721730960478,43.866839490086406,80.0,3.371082259319218e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.503193245346562, 0.5031932453465618], [0.49678622951687634, 0.49678622951687623]]"
fadg0,0.0,-0.002714417616594907,53.424670713137246,80.0,4.62764389158171e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5010648122504374, 0.5010648122504372], [0.49893291525457983, 0.4989329152545797]]"
fadg0,0.0,-0.0009032010701366817,62.98251368517817,80.0,3.669388240132722e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.500354560398768, 0.5003545603987678], [0.49964518799659785, 0.4996451879965977]]"
fadg0,0.0,-0.00030053303814001574,72.540357958028,80.0,3.951667858365539e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5001180051185061, 0.5001180051185061], [0.4998819670245024, 0.49988196702450227]]"
fadg0,0.0,-0.0001,80.0,80.0,4.817843348532359e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5000392683660038, 0.5000392683660037], [0.49996072854974466, 0.49996072854974455]]"
fadg0,0.0,0.0001,80.0,80.0,3.884900524781909e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4999607285497448, 0.4999607285497447], [0.5000392683660038, 0.5000392683660035]]"
fadg0,0.0,0.00030053303814001574,72.54035795802562,80.0,5.239486746880903e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4998819670245025, 0.4998819670245024], [0.5001180051185061, 0.5001180051185061]]"
fadg0,0.0,0.0009032010701366826,62.982513685177594,80.0,4.1534069910253846e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49964518799659785, 0.4996451879965977], [0.5003545603987678, 0.5003545603987676]]"
fadg0,0.0,0.002714417616594907,53.42467071313714,80.0,5.463571853990495e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49893291525457983, 0.4989329152545797], [0.5010648122504373, 0.5010648122504371]]"
fadg0,0.0,0.008157721730960486,43.86683949008624,80.0,3.825528926883826e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49678622951687634, 0.49678622951687623], [0.503193245346562, 0.5031932453465618]]"
fadg0,0.0,0.02451664896106383,34.309114384379015,80.0,5.769447089162855e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4902802403139265, 0.49028024031392636], [0.509534381526623, 0.5095343815266229]]"
fadg0,0.0,0.07368062997280773,24.752347761002483,80.0,5.034960507533974e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4702448696481733, 0.47024486964817314], [0.5280812083094536, 0.5280812083094535]]"
fadg0,0.0,0.2214346357779824,15.204240555412305,80.0,3.930739759113331e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.40593800248928424, 0.40593800248928413], [0.5789769754791719, 0.5789769754791717]]"
fadg0,0.0,0.6654842383978488,5.734541550939229,80.0,4.741374510073293e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.18364692106281505, 0.183646921062815], [0.6828424477023582, 0.6828424477023581]]"
fadg0,0.5,-0.16548423839784843,5.734541550939235,80.0,2.6302721070178427e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.30338670115503974, 0.7324402885721297], [0.2332447619325866, 0.5631026676101341]]"
fadg0,0.5,0.27856536422201783,15.204240555412323,80.0,1.7816531724453563e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.20541597468273365, 0.4959180320071437], [0.32287905901725633, 0.7794990032857229]]"
fadg0,0.5,0.4263193700271923,24.752347761002483,80.0,2.5896268385506267e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1666497028324061, 0.4023279727434406], [0.3444916340821603, 0.8316763751252206]]"
fadg0,0.5,0.4754833510389362,34.30911438437906,80.0,5.7152183502280574e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.15322682831252726, 0.36992228703151697], [0.35066814581882044, 0.8465877935280222]]"
fadg0,0.5,0.49184227826903953,43.866839490086335,80.0,2.0443824416334026e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14870882574023941, 0.35901486394666304], [0.35260784811697743, 0.8512706491231989]]"
fadg0,0.5,0.4972855823834051,53.42467071313806,80.0,4.512173130703646e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1472000160188222, 0.35537227505417723], [0.35324037805832, 0.8527977114861952]]"
fadg0,0.5,0.4990967989298633,62.982513685175945,80.0,2.560112274673466e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1466973735780613, 0.35415878885666796], [0.35344941645449784, 0.8533023748173044]]"
fadg0,0.5,0.49969946696185996,72.54035795803131,80.0,3.551553110471657e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14653005739560854, 0.35375485185978606], [0.3535188137657824, 0.8534699147474001]]"
fadg0,0.5,0.4999,80.0,80.0,3.2114738129251327e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14647437697338306, 0.35362042742929056], [0.35354188761303174, 0.8535256199423654]]"
fadg0,0.5,0.5001,80.0,80.0,2.308367709359896e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14641884093671323, 0.3534863515763619], [0.35356489139262093, 0.8535811559790354]]"
fadg0,0.5,0.50030053303814,72.5403579580191,80.0,2.8717607100148817e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14636315325872015, 0.35335190962889385], [0.3535879477228979, 0.8536368188842886]]"
