,sdr,isr,sir,sar,true_angle,est_angle,est_deviation,file
0,-2.2279541532522122,-0.003309636487635998,inf,-20.265089003893017,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
1,-2.2431840753024717,-0.003492408048614383,inf,-20.279636400065524,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
2,-2.233197623847309,-0.0035400859207664805,inf,-20.272704420616463,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
3,-2.2601653362885825,-0.0039933790290153605,inf,-20.293463234189936,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
4,-2.356785155964199,-0.005833128990569817,inf,-20.30907899866646,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
5,-2.3406700762715498,-0.006108346512676746,inf,-20.326394591847997,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
6,-2.322835312016932,-0.005492324183023816,inf,-20.289593160087787,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
7,-2.2533972604823527,-0.0038896565324021354,inf,-20.251691768289795,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
8,-2.2261111959897044,-0.002470379740041559,inf,-20.20976110090895,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
9,-2.1997056330264533,-0.000664385342155786,inf,-20.170774560554996,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
10,-2.1670161995544306,0.0010820431365749356,inf,-20.1458079804934,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
11,-2.215926712696951,0.0017403032034423176,inf,-20.106215061931884,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
12,-2.1979439246483032,0.0028432456313947424,inf,-20.062724998514256,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
13,-2.16375031569902,0.004228866082080534,inf,-20.02371264653614,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
14,-2.208637860896363,0.004940996135915826,inf,-20.00947617688444,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
15,-2.208530640912362,0.005077564940817113,inf,-19.993688809492475,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
16,-2.1883760952125257,0.004458368763062714,inf,-20.019337039464126,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
17,-2.2649000799577577,0.0035894380901777424,inf,-20.033362139542078,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
18,-2.2535917220458157,0.0032151788866596597,inf,-20.049539382985238,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
19,-2.2844924757921077,0.0029825320553833142,inf,-20.053361220304193,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
