,,SSR,SRR,cost,shift,scale
PR - Happy Daze,mixture,-2.5153721040070876,12.569650047510212,16.971669329607167,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8187497930888579, 0.0929453286883973], [0.0647729785588707, 0.8519112301637632]]"
PR - Oh No,mixture,-3.3812916927883703,12.498032228692054,12.346437883734273,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.881766548894885, 0.017332903947076813], [0.21602533429532944, 0.7874059748243352]]"
Punkdisco - Oral Hygiene,mixture,-3.835352102873158,15.193031306055886,7.247722460578916,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8620938318789209, 0.06665871966263395], [0.08422189262136084, 0.839200947184318]]"
Raft Monk - Tiring,mixture,-2.6723707847631633,11.960748961778716,13.828122044170616,"[[-576.0, -577.0], [-575.0, -576.0]]","[[0.8977418930307195, 0.03291676602652535], [0.03003894266090723, 0.9002434814244585]]"
Sambasevam Shanmugam - Kaathaadi,mixture,-2.6239636607421666,20.30381908518811,4.637710992940099,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9391295905435523, 0.00543090131800663], [0.005242251210725879, 0.9409629432075622]]"
Secretariat - Borderline,mixture,-2.7451900223022885,12.62821659448898,10.259271921519497,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8896286208579263, 0.034405713314745415], [0.02873741478716101, 0.8985371233293412]]"
Secretariat - Over The Top,mixture,-2.497533294860412,11.072756505631926,15.134992495446713,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8469614537274206, 0.07162046882218315], [0.0890402479277114, 0.8201929821846435]]"
Side Effects Project - Sing With Me,mixture,-3.4808888679598464,12.306909352532102,10.209010780801663,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8471958818906901, 0.07033429689690489], [0.07632656852741113, 0.8463194638551842]]"
Signe Jakobsen - What Have You Done To Me,mixture,-2.6703681047782526,11.298320981518229,9.975470596717944,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8921514881494701, 0.02796583729057886], [0.01778963367447857, 0.8994840158546957]]"
Skelpolu - Resurrection,mixture,-2.5472200039672197,13.742789617459728,11.927295158332948,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8868821212831, 0.03484366008164654], [0.05639567548330332, 0.8590351111841845]]"
Speak Softly - Broken Man,mixture,-2.0831698601506337,15.842060864856267,7.496781682597986,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9243256814608409, 0.008979328934903687], [0.015503968690241636, 0.9154497964125203]]"
Speak Softly - Like Horses,mixture,-2.93766677492379,17.531312644229686,6.942527277063762,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9000877284823628, 0.03865779758400708], [0.001933367288331628, 0.9379921371054895]]"
The Doppler Shift - Atrophy,mixture,-2.107216602706516,16.00479595295625,7.896862530894495,"[[-576.0, -575.0], [-577.0, -576.0]]","[[0.9257268917904694, 0.014861284533600916], [0.01436477908640272, 0.925961427221944]]"
The Easton Ellises (Baumi) - SDRNR,mixture,-2.7254608038960337,8.803738421733714,17.290843966998885,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8458278968331989, 0.04290863674069934], [0.062492895836338866, 0.8140392268394601]]"
The Easton Ellises - Falcon 69,mixture,-2.4773709696951816,12.10018157393067,14.76291073266187,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8814338052111046, 0.043708008809887865], [0.04067764095713158, 0.8863862109849227]]"
The Long Wait - Dark Horses,mixture,-2.8405191143169537,16.014498893880663,5.225062690829493,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9082052645588767, 0.027507070492598096], [0.024978073003404523, 0.9082722721734319]]"
The Mountaineering Club - Mallory,mixture,-2.0737979499347547,15.764689307036473,5.682781421376036,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9214740784458485, 0.01360769519261943], [0.013694139368433052, 0.9230403966787951]]"
The Sunshine Garcia Band - For I Am The Moon,mixture,-2.5715538758041316,14.796564195764441,8.11756284260752,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8857518850896603, 0.040576208040816804], [0.005107484704717537, 0.9249049578689832]]"
Timboz - Pony,mixture,-2.890807590908521,9.041561699838242,15.514518059295709,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8704649532570181, 0.04104740785670355], [0.047371823215937095, 0.8566268647678762]]"
Tom McKenzie - Directions,mixture,-3.2098186787351053,17.21154754428153,6.047795119241251,"[[-576.0, -575.0], [-577.0, -576.0]]","[[0.8995329226377753, 0.041786063738971806], [0.02692685463761291, 0.9135814556436596]]"
Triviul feat. The Fiend - Widow,mixture,-3.0198795627205617,10.993694436503521,11.802095319666785,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8694264577006336, 0.04648496246250415], [0.031039058946232597, 0.8863556977200783]]"
We Fell From The Sky - Not You,mixture,-2.9348173268137545,10.391437995924884,13.008709086557653,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8704852935227876, 0.05387060811438615], [0.062112296760107266, 0.8639360873943932]]"
Zeno - Signs,mixture,-2.4920149456928193,12.709603377695334,10.73253211161892,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8961897469124744, 0.023926952168626166], [0.026247457936770236, 0.8993176959592538]]"
