,spr/num,spr/cal,sfr/num,sfr/cal,true_angle,est_angle,est_deviation,file
43,-3.056,-1.947,-2.937,-4.382,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
44,-3.094,-1.918,-2.9,-4.433,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
45,-3.135,-1.934,-2.862,-4.405,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
46,-3.178,-2.027,-2.823,-4.248,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
47,-3.233,-2.038,-2.773,-4.23,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
48,-3.284,-2.069,-2.728,-4.18,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
49,-3.338,-2.061,-2.682,-4.192,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
50,-3.393,-2.092,-2.635,-4.14,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
51,-3.447,-2.116,-2.591,-4.102,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
52,-3.476,-2.121,-2.569,-4.095,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
53,-3.444,-2.196,-2.596,-3.978,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
54,-3.386,-2.189,-2.645,-3.99,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
55,-3.334,-2.15,-2.69,-4.048,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
56,-3.273,-2.169,-2.743,-4.019,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
57,-3.213,-2.136,-2.793,-4.071,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
58,-3.155,-2.079,-2.846,-4.163,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
59,-3.098,-2.114,-2.901,-4.106,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
60,-3.07,-2.083,-2.927,-4.156,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
61,-3.053,-2.1,-2.943,-4.13,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
62,-3.036,-2.064,-2.958,-4.188,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
63,-3.38,-2.899,-2.762,-3.179,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
64,-3.382,-2.841,-2.757,-3.246,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
65,-3.395,-2.757,-2.742,-3.344,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
66,-3.414,-2.708,-2.722,-3.406,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
67,-3.439,-2.747,-2.695,-3.365,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
68,-3.485,-2.68,-2.652,-3.449,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
69,-3.534,-2.649,-2.608,-3.483,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
70,-3.588,-2.584,-2.56,-3.559,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
71,-3.636,-2.582,-2.518,-3.556,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
72,-3.673,-2.586,-2.486,-3.544,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
73,-3.693,-2.572,-2.468,-3.554,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
