,,SSR,SRR,cost,shift,scale
PR - Oh No,mixture,27.20193594427693,15.47962228339031,9.458701366919097,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7726503395827423, 0.09892905513429517], [0.2875750116070424, 0.8362779131215206]]"
Punkdisco - Oral Hygiene,mixture,26.06537514499241,13.501851639181819,9.571251020403896,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8305117756938792, 0.14672380270394839], [0.20296269929937077, 0.7714669546950803]]"
Raft Monk - Tiring,mixture,27.108455511535244,12.223886120164288,14.595809230318181,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9398490176949791, 0.039726661969079716], [0.03854008849221993, 0.9451129961997355]]"
Sambasevam Shanmugam - Kaathaadi,mixture,33.407983856392455,16.69598174884381,7.145109761604523,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9686671808469269, 0.019465773190646525], [0.026150242037169286, 0.9696968442368585]]"
Secretariat - Borderline,mixture,22.677960319043635,12.830166222872553,11.30995368930365,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8682208704187451, 0.10780221929009229], [0.11854860834556019, 0.8832826156636594]]"
Secretariat - Over The Top,mixture,20.8926559475745,11.26860706995653,16.612550907746034,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8514444762993187, 0.13289684959457781], [0.14600624409808627, 0.8295706360772304]]"
Side Effects Project - Sing With Me,mixture,22.03026814237218,12.923044782390233,10.108281737718494,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8057083491686546, 0.17595920972856352], [0.1777884224660968, 0.8144911520496741]]"
Signe Jakobsen - What Have You Done To Me,mixture,24.48889795056394,11.95844111518992,9.490782078356935,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9106211771006616, 0.06738236805757589], [0.06254720746823858, 0.920134037229934]]"
Skelpolu - Resurrection,mixture,24.62569143370404,14.056421223676967,12.361749808706115,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8444429156233586, 0.1455040057936875], [0.17085984879461713, 0.8151950045483363]]"
Speak Softly - Broken Man,mixture,27.91076778043919,15.425370498792134,8.816833745146239,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9024961431799751, 0.08034084306715], [0.07070520786879197, 0.9101117186718756]]"
Speak Softly - Like Horses,mixture,26.546460013535413,16.29049174189227,7.801593439789651,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8366501048035146, 0.1556925132871214], [0.12852771099336927, 0.862369903328376]]"
The Doppler Shift - Atrophy,mixture,29.99990597553534,14.483495032527301,10.236650303724865,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.9388746163663427, 0.04661777687063854], [0.026834472861709424, 0.9598520532946475]]"
The Easton Ellises (Baumi) - SDRNR,mixture,21.942070664847854,9.141593555524372,17.26458476512439,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9033178386241263, 0.0601096811439429], [0.0628504225097898, 0.8944080502449812]]"
The Easton Ellises - Falcon 69,mixture,23.733151686768522,13.49913328689409,13.626176354128365,"[[0.0, 0.0], [0.0, 0.0]]","[[0.868282801187567, 0.1254174842816993], [0.1210093263722485, 0.8725252067570535]]"
The Long Wait - Dark Horses,mixture,24.32245724497733,15.011532060272382,6.580224843805006,"[[0.0, 0.0], [0.0, 0.0]]","[[0.826970118690874, 0.16918511164460814], [0.1531758857092537, 0.8344093803085498]]"
The Mountaineering Club - Mallory,mixture,28.801914945143203,15.302976471002296,6.098814993550161,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9216061199400989, 0.06246746766359871], [0.06458040009925434, 0.9326973622973361]]"
The Sunshine Garcia Band - For I Am The Moon,mixture,25.29951981822111,15.057292342378258,8.902267022346456,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8183473886801633, 0.1579498200818748], [0.16431832367831667, 0.8321157160396004]]"
Timboz - Pony,mixture,22.324847473879355,10.048335749084934,15.026312856758487,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9097905344385482, 0.08003723263761932], [0.0689909976557203, 0.9097663229176158]]"
Tom McKenzie - Directions,mixture,24.075729733137244,14.313479563151999,8.783319343805488,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8348848256292358, 0.16175983374026945], [0.07636321033981865, 0.9184495239790188]]"
Triviul feat. The Fiend - Widow,mixture,22.452489265811224,12.411273436658679,10.30415648211453,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8416552222673711, 0.15118732207095087], [0.1292036671320358, 0.8524829310443173]]"
We Fell From The Sky - Not You,mixture,21.902018707252246,11.744929731058988,12.010776487378251,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8638692652744846, 0.1201436070830601], [0.11346100061742555, 0.8720172759564765]]"
Zeno - Signs,mixture,22.677513800631004,13.070050196594106,11.055046058264967,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8517003227580746, 0.14148120845154716], [0.1363384755299181, 0.8507715037575987]]"
