,sdr,isr,sir,sar,true_angle,est_angle,est_deviation,file
35,8.238426909898656,8.23933770594338,inf,45.19182591972243,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
36,6.7174452791705965,6.717698864817758,inf,49.27227356637995,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
37,5.569341807901611,5.570615777250075,inf,41.16046821576412,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
38,4.669929553232995,4.67117227047183,inf,40.40267957458204,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
39,4.004197272801524,4.004627991669895,inf,44.33115689642962,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
40,3.431494864147531,3.4315178330167964,inf,56.473650418971495,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
41,2.8734597959648305,2.8737011918319704,inf,45.66516106750026,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
42,3.20697194231344,4.180631886982492,inf,10.27497924180137,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
43,3.4030570079972575,4.384770234194802,inf,10.565381854021364,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
44,3.72739580670292,4.7088609031524165,inf,10.980462558655582,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
45,4.211675980007167,5.165950392825338,inf,11.633656981745471,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
46,4.8741851959221645,5.7545829800240975,inf,12.64459965117064,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
47,5.838206541524653,6.6124453846892175,inf,14.106861661844627,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
48,7.142669691657247,7.769184278384644,inf,16.210091335033102,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
49,8.989399147735375,9.452488043487877,inf,19.205922934045997,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
50,11.767380225893607,12.071689382037684,inf,23.628820015777457,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
51,16.967210869326642,17.14267228752897,inf,31.06429449550669,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
52,inf,233.69499168856746,inf,233.69499168856746,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
53,16.45884861334887,16.50816626231949,inf,35.88711369696047,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
54,11.211913404626381,11.235625813450582,inf,33.81249418181791,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
55,8.520748564542824,8.528311453476453,inf,36.11375495067813,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
56,6.5756690227996675,6.576444758848199,inf,44.130425784519,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
57,5.112979514402126,5.11319015914809,inf,48.423182030245464,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
58,4.052328033403276,4.053374879090349,inf,40.48160160880224,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
59,3.216260203928316,3.2172705601367344,inf,39.8873943605846,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
60,2.6234306551796003,2.6237824716881244,inf,43.91926166609777,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
61,2.170034700617186,2.1700614337401634,inf,54.6875842335711,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
62,1.8161966587365908,1.8164109709595166,inf,45.29394605818479,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
63,4.496629406912903,5.036032087064334,inf,12.96534038401115,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
64,4.9875555336038415,5.558397260878889,inf,13.391971032673354,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
65,5.465180606323975,6.05465027325975,inf,13.918548490240168,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
66,5.966976516276866,6.5513759412718375,inf,14.641241077790815,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
67,6.586669144753778,7.138535656121855,inf,15.662185691900554,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
68,7.43152054805567,7.926189323926244,inf,17.084961480820283,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
69,8.666108229438068,9.083811473561012,inf,19.09431722910854,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
70,10.577704624919171,10.912878463071738,inf,21.948174143354624,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
71,13.326750108779255,13.561474524497285,inf,26.179437074495144,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
72,18.28591990825718,18.423468640970498,inf,33.377823175964124,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
73,inf,231.05661029767728,inf,231.05661029767728,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
