,spr,sfr,true_angle,est_angle,est_deviation,file
45,-2.593,0.0,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
46,-2.663,0.0,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
47,-2.602,0.0,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
48,-2.521,0.0,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
49,-2.378,0.0,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
50,-2.276,0.0,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
51,-2.193,0.0,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
52,-2.121,0.0,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
53,-2.154,0.0,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
54,-2.152,0.0,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
55,-2.152,0.0,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
56,-2.246,0.0,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
57,-2.308,0.0,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
58,-2.333,0.0,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
59,-2.456,0.0,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
60,-2.468,0.0,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
61,-2.514,0.0,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
62,-2.478,0.0,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
63,-2.24,0.0,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
64,-2.334,0.0,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
65,-2.412,0.0,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
66,-2.525,0.0,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
67,-2.704,0.0,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
68,-2.738,0.0,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
69,-2.756,0.0,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
70,-2.693,0.0,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
71,-2.658,0.0,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
72,-2.619,0.0,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
73,-2.572,0.0,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
74,-2.627,0.0,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
75,-2.622,0.0,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
76,-2.607,0.0,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
77,-2.686,0.0,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
78,-2.724,0.0,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
79,-2.721,0.0,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
80,-2.821,0.0,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
81,-2.804,0.0,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
82,-2.835,0.0,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
83,-2.775,0.0,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
84,-1.549,0.0,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
85,-1.669,0.0,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
86,-1.765,0.0,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
87,-1.861,0.0,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
88,-2.005,0.0,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
89,-2.023,0.001,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
90,-2.018,0.001,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
91,-1.96,0.0,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
92,-1.934,0.0,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
93,-1.913,0.0,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
94,-1.882,0.0,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
95,-1.938,0.0,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
96,-1.947,0.0,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
97,-1.935,0.0,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
98,-1.996,0.0,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
99,-2.024,0.0,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
100,-2.017,0.0,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
101,-2.089,0.0,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
102,-2.052,0.0,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
103,-2.053,0.0,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
104,-1.98,0.0,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
105,-2.263,0.0,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
106,-2.319,0.0,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
107,-2.336,0.0,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
108,-2.371,0.0,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
109,-2.461,0.0,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
110,-2.422,0.0,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
111,-2.368,0.0,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
112,-2.269,0.0,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
113,-2.209,0.0,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
114,-2.16,0.0,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
115,-2.103,0.0,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
116,-2.157,0.0,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
117,-2.185,0.0,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
118,-2.198,0.0,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
119,-2.299,0.001,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
120,-2.364,0.001,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
121,-2.391,0.0,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
122,-2.519,0.001,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
123,-2.512,0.0,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
124,-2.527,0.0,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
125,-2.482,0.0,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
126,-2.143,0.011,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
127,-2.176,0.011,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
128,-2.169,0.011,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
129,-2.169,0.011,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
130,-2.217,0.011,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
131,-2.148,0.01,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
132,-2.079,0.011,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
133,-1.967,0.011,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
134,-1.916,0.012,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
135,-1.884,0.013,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
136,-1.888,0.014,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
137,-2.017,0.014,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
138,-2.107,0.015,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
139,-2.195,0.015,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
140,-2.361,0.016,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
141,-2.5,0.016,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
142,-2.617,0.015,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
143,-2.779,0.016,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
144,-2.828,0.015,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
145,-2.874,0.015,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
146,-2.824,0.015,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
147,-1.952,0.0,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
148,-2.02,0.0,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
149,-2.059,0.0,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
