,spr,sfr,true_angle,est_angle,est_deviation,file
51,-2.146,-4.102,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
52,-2.121,-4.095,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
53,-2.179,-3.978,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
54,-2.174,-3.99,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
55,-2.15,-4.048,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
56,-2.198,-4.019,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
57,-2.202,-4.071,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
58,-2.176,-4.163,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
59,-2.248,-4.106,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
60,-2.233,-4.156,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
61,-2.262,-4.13,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
62,-2.224,-4.188,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
63,-2.599,-3.179,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
64,-2.612,-3.246,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
65,-2.603,-3.344,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
66,-2.626,-3.406,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
67,-2.728,-3.365,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
68,-2.706,-3.449,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
69,-2.697,-3.483,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
70,-2.632,-3.559,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
71,-2.615,-3.556,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
72,-2.6,-3.544,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
73,-2.572,-3.554,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
74,-2.642,-3.447,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
75,-2.637,-3.445,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
76,-2.611,-3.482,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
77,-2.666,-3.435,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
78,-2.67,-3.461,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
79,-2.64,-3.529,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
80,-2.723,-3.451,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
81,-2.705,-3.477,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
82,-2.738,-3.435,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
83,-2.695,-3.467,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
84,-1.911,-4.237,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
85,-1.921,-4.333,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
86,-1.914,-4.451,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
87,-1.931,-4.502,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
88,-2.015,-4.425,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
89,-2.0,-4.496,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
90,-1.992,-4.506,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
91,-1.938,-4.581,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
92,-1.924,-4.576,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
93,-1.909,-4.564,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
94,-1.882,-4.576,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
95,-1.939,-4.458,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
96,-1.94,-4.458,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
97,-1.919,-4.487,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
98,-1.959,-4.412,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
99,-1.963,-4.422,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
100,-1.94,-4.496,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
101,-2.007,-4.394,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
102,-1.992,-4.405,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
103,-2.019,-4.333,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
104,-1.986,-4.353,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
105,-2.125,-4.339,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
106,-2.136,-4.363,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
107,-2.127,-4.402,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
108,-2.149,-4.38,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
109,-2.235,-4.243,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
110,-2.219,-4.249,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
111,-2.207,-4.224,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
112,-2.148,-4.277,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
113,-2.132,-4.263,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
114,-2.123,-4.255,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
115,-2.103,-4.26,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
116,-2.163,-4.162,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
117,-2.161,-4.2,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
118,-2.145,-4.267,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
119,-2.198,-4.242,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
120,-2.203,-4.295,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
121,-2.172,-4.394,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
122,-2.242,-4.342,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
123,-2.224,-4.377,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
124,-2.253,-4.318,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
125,-2.215,-4.367,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
126,-1.972,-3.929,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
127,-1.985,-3.931,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
128,-1.98,-3.939,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
129,-2.007,-3.876,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
130,-2.105,-3.7,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
131,-2.089,-3.678,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
132,-2.077,-3.63,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
133,-2.008,-3.673,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
134,-1.978,-3.679,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
135,-1.935,-3.719,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
136,-1.888,-3.813,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
137,-1.936,-3.813,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
138,-1.918,-3.945,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
139,-1.879,-4.12,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
140,-1.91,-4.187,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
141,-1.906,-4.333,0.0,5.0,5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
142,-1.896,-4.492,0.0,6.0,6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
143,-1.973,-4.461,0.0,7.0,7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
144,-1.965,-4.533,0.0,8.0,8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
145,-1.993,-4.508,0.0,9.0,9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
146,-1.957,-4.553,0.0,10.0,10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
147,-2.104,-3.906,0.0,-10.0,-10.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
148,-2.114,-3.948,0.0,-9.0,-9.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
149,-2.106,-4.008,0.0,-8.0,-8.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
150,-2.126,-4.012,0.0,-7.0,-7.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
151,-2.213,-3.898,0.0,-6.0,-6.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
152,-2.193,-3.918,0.0,-5.0,-5.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
153,-2.187,-3.908,0.0,-4.0,-4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
154,-2.132,-3.985,0.0,-3.0,-3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
155,-2.121,-4.0,0.0,-2.0,-2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
156,-2.111,-4.025,0.0,-1.0,-1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
157,-2.089,-4.078,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
158,-2.153,-4.009,0.0,1.0,1.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
159,-2.152,-4.056,0.0,2.0,2.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
160,-2.132,-4.136,0.0,3.0,3.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
161,-2.182,-4.118,0.0,4.0,4.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
