,spr/num,spr/cal,sfr/num,sfr/cal,true_angle,est_angle,est_deviation,file
44,-3.13,-1.938,-2.694,-4.327,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fetb0/si518.wav
45,-4.186,-2.52,-2.061,-3.531,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fetb0/sx158.wav
46,-3.852,-2.238,-2.31,-3.963,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fetb0/sx248.wav
47,-3.433,-2.301,-2.639,-3.895,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fetb0/sx338.wav
48,-3.269,-2.167,-2.772,-4.06,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fetb0/sx428.wav
49,-3.797,-2.343,-2.327,-3.789,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fetb0/sx68.wav
50,-3.166,-2.317,-2.835,-3.815,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/sa1.wav
51,-3.814,-2.566,-2.323,-3.499,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/sa2.wav
52,-4.391,-3.134,-1.957,-2.861,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/si1434.wav
53,-3.781,-2.445,-2.306,-3.601,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/si1763.wav
54,-3.879,-2.483,-2.242,-3.554,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/si804.wav
55,-2.879,-1.874,-2.819,-4.205,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/sx174.wav
56,-3.669,-2.617,-2.502,-3.466,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/sx264.wav
57,-3.814,-2.163,-2.414,-4.193,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/sx354.wav
58,-3.636,-2.45,-2.453,-3.569,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/sx444.wav
59,-3.257,-2.334,-2.796,-3.778,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fjsp0/sx84.wav
60,-3.234,-2.097,-2.803,-4.155,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/sa1.wav
61,-3.488,-2.123,-2.63,-4.248,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/sa2.wav
62,-3.907,-2.521,-2.287,-3.591,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/si1608.wav
63,-4.063,-2.739,-2.115,-3.189,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/si2238.wav
64,-3.168,-2.091,-2.844,-4.188,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/si978.wav
65,-4.118,-2.83,-2.133,-3.172,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/sx168.wav
66,-3.246,-2.012,-2.768,-4.308,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/sx258.wav
67,-2.861,-2.069,-2.696,-3.915,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/sx348.wav
68,-3.453,-2.44,-2.639,-3.702,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/sx438.wav
69,-3.965,-2.924,-2.277,-3.114,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fkfb0/sx78.wav
70,-3.983,-2.898,-2.222,-3.136,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/sa1.wav
71,-3.54,-2.315,-2.599,-3.883,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/sa2.wav
72,-3.364,-1.973,-3.353,-4.641,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/si1377.wav
73,-3.165,-2.049,-2.833,-4.263,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/si2007.wav
74,-3.332,-1.894,-2.351,-4.036,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/si747.wav
75,-3.416,-2.228,-2.672,-3.99,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/sx117.wav
76,-4.384,-2.145,-2.163,-4.3,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/sx207.wav
77,-3.711,-2.297,-2.321,-3.75,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/sx297.wav
78,-3.779,-2.466,-2.322,-3.618,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/sx333.wav
79,-2.967,-1.769,-2.89,-4.724,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fmem0/sx387.wav
80,-3.042,-2.226,-2.764,-3.699,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/sa1.wav
81,-3.907,-2.647,-2.372,-3.495,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/sa2.wav
82,-3.217,-2.168,-2.862,-4.067,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/si1244.wav
83,-3.774,-2.391,-2.313,-3.647,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/si1874.wav
84,-4.151,-2.434,-2.07,-3.622,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/si614.wav
85,-3.573,-2.241,-2.484,-3.928,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/sx164.wav
86,-4.077,-2.972,-2.142,-3.046,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/sx327.wav
87,-4.454,-3.246,-1.904,-2.751,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/sx344.wav
88,-3.796,-2.406,-2.329,-3.694,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fsah0/sx434.wav
